Krajina,EPI_2020,zmena EPI_10 rokov,typ_krajiny,typ_dohody,Dohoda_0,Dohoda_1,Dohoda_2,Dohoda_3,ucinnost_dohody,dlzka_vykonavania (v rokoch),ZP,TSD,ohrozene_druhy,znizenie_emisii,tazba _dreva,CE,obcianska_spolocnost,MIC,organy_pre_ZP,kontrola,vynutitelnosť,obmedzenie_env_hladisko,Obmedzenie_0,Obmedzenie_1,Obmedzenie_2,MEA,Bazilejský dohovor,Rotterdam,CITES,CBD,Kartagena,Nagojský protokol,Stockholm,Montrealský protokol,UNFCCC,Kjótsky protokol,Parížska dohoda
Albánsko,49,10.2,0,0,1,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosna a Hercegovina,45.4,10.9,0,0,1,0,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Srbsko,55.2,7,0,0,1,0,0,0,1,7,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Gruzínsko,41.3,-1.3,0,0,1,0,0,0,1,4,1,1,1,1,1,0,1,0,1,1,0,3,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0
Moldavsko,44.4,-2.3,0,0,1,0,0,0,1,4,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
Ukrajina,49.5,0.7,0,0,1,0,0,0,1,4,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
Azerbajdžan,46.5,4,0,3,0,0,0,1,1,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Turecko,42.6,2.1,0,1,0,1,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Švajčiarsko,81.5,8.6,1,1,0,1,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"EEA (Nor, Isl, Licht)",75,4,1,1,0,1,0,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,81.3,9,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,3,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1
Alžírsko,44.8,0.5,0,0,1,0,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maroko,42.3,13.3,0,0,1,0,0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Izrael,65.8,5.2,1,0,1,0,0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Irak,39.5,0.2,0,3,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SADC,36.57,3.2,0,2,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pob. Slonoviny,25.8,-8.5,0,2,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,27.6,-4.4,0,2,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CARIFORUM,44.77,1.01,0,2,0,0,1,0,0,12,1,1,0,0,1,0,1,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Kazachstan,44.7,9,0,3,0,0,0,1,0,4,1,1,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Japonsko,75.1,-0.5,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,3,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1
Južná Kórea,66.5,2.2,1,1,0,1,0,0,1,9,1,1,0,1,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
Singapur,58.1,-8.4,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
Vietnam,33.4,5.4,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,3,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1
Kanada,71,3.7,1,1,0,1,0,0,0,3,1,1,1,1,1,0,1,1,1,1,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Kolumbia, Peru",48.45,0.05,0,0,1,0,0,0,0,7,1,1,1,1,1,0,1,0,1,1,1,2,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0
Čile,55.3,3.7,0,0,1,0,0,0,1,17,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stredná Amerika,41.95,2.7,0,0,1,0,0,0,0,7,1,1,1,1,1,0,1,0,1,1,0,2,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0
